t,run_id,state,pos_n,pos_e,alt,vel_n,vel_e,yaw,cmd_vx,cmd_vy,speed,target_n,target_e,dist_to_target,front_dist,min_threat,min_threat_angle,collision,ok,n_obs,compute_ms,heading_score,clearance_score,velocity_score,heading_term,clearance_term,velocity_term,total,safe_dist
0.049,0,INIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.099,0,INIT,-0.4747,-0.0079,-0.198,-0.0017,0.0085,1.5819,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.149,0,INIT,-0.4744,-0.0106,-0.1994,-0.0018,0.0064,1.5816,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.199,0,INIT,-0.4756,-0.0154,-0.1993,-0.0024,0.0034,1.5816,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.249,0,INIT,-0.4767,-0.0196,-0.1992,-0.0029,0.0007,1.5814,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.299,0,INIT,-0.4771,-0.0224,-0.1979,-0.0034,-0.0007,1.5809,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.349,0,INIT,-0.4775,-0.0246,-0.1965,-0.0039,-0.0016,1.5797,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.399,0,INIT,-0.4778,-0.0251,-0.195,-0.0044,-0.0015,1.5788,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.449,0,INIT,-0.478,-0.0233,-0.1936,-0.0051,0.0002,1.5782,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.499,0,INIT,-0.4783,-0.0212,-0.1923,-0.0058,0.002,1.5779,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.549,0,INIT,-0.4776,-0.0183,-0.1896,-0.0059,0.0044,1.5778,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.599,0,INIT,-0.4762,-0.0145,-0.1861,-0.0055,0.0071,1.5778,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.649,0,INIT,-0.4751,-0.0116,-0.1836,-0.0053,0.0091,1.5781,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.699,0,INIT,-0.4763,-0.0103,-0.1822,-0.0059,0.01,1.578,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.749,0,INIT,-0.4783,-0.01,-0.1816,-0.0069,0.0101,1.5777,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
0.799,0,INIT,-0.4801,-0.0093,-0.1817,-0.0079,0.0104,1.5775,0.0,0.0,0.0,,,,,,0.0,0,,0,0.0,,,,,,,,
